species,site,plot,total,LL,UR
Navarretia atractyloides,755,3,1,0,0
Navarretia atractyloides,755,4,1,0,0
Navarretia atractyloides,755,5,1,1,0
Clarkia purpurea,756,1,1,0,0
Clarkia purpurea,756,2,2,1,1
Clarkia purpurea,756,3,4,2,2
Clarkia purpurea,756,4,2,1,0
Clarkia purpurea,756,5,4,0,1
Acmispon wrangelianus,756,1,2,0,10
Acmispon wrangelianus,756,2,0,0,0
Acmispon wrangelianus,756,3,0,0,0
Acmispon wrangelianus,756,4,8,0,15
Acmispon wrangelianus,756,5,0,0,0
Micropus californicus,756,1,2,1,1
Micropus californicus,756,2,1,5,1
Micropus californicus,756,3,2,1,2
Micropus californicus,756,4,12,5,10
Micropus californicus,756,5,4,1,10
Clarkia purpurea,757,1,0,0,0
Clarkia purpurea,757,2,0,0,0
Clarkia purpurea,757,3,0,0,0
Clarkia purpurea,757,4,0,0,0
Clarkia purpurea,757,5,4,0,0
Croton setiger,757,1,0,0,0
Croton setiger,757,2,0,0,0
Croton setiger,757,3,1,0,2
Croton setiger,757,4,0,0,0
Croton setiger,757,5,0,0,0
Lagophylla ramosissima,757,1,0,0,0
Lagophylla ramosissima,757,2,0,0,0
Lagophylla ramosissima,757,3,1,0,0
Lagophylla ramosissima,757,4,8,1,15
Lagophylla ramosissima,757,5,1,1,0
Carduus pycnocephalus,758,1,8,40,0
Carduus pycnocephalus,758,2,4,0,1
Carduus pycnocephalus,758,3,12,25,1
Carduus pycnocephalus,758,4,2,10,0
Carduus pycnocephalus,758,5,0,0,0
Hordeum murinum,758,1,0,0,0
Hordeum murinum,758,2,50,70,0
Hordeum murinum,758,3,0,0,0
Hordeum murinum,758,4,0,0,0
Hordeum murinum,758,5,0,0,0
Torilis arvensis,758,1,12,20,2
Torilis arvensis,758,2,4,2,0
Torilis arvensis,758,3,8,0,1
Torilis arvensis,758,4,16,10,25
Torilis arvensis,758,5,8,2,5
Carduus pycnocephalus,759,1,0,0,0
Carduus pycnocephalus,759,2,0,0,0
Carduus pycnocephalus,759,3,0,0,0
Carduus pycnocephalus,759,4,1,0,0
Carduus pycnocephalus,759,5,4,0,0
Torilis arvensis,759,1,2,0,0
Torilis arvensis,759,2,12,5,5
Torilis arvensis,759,3,8,5,1
Torilis arvensis,759,4,1,5,0
Torilis arvensis,759,5,16,5,10
Centaurea melitensis,760,1,0,0,0
Centaurea melitensis,760,2,4,1,1
Centaurea melitensis,760,3,1,2,1
Centaurea melitensis,760,4,1,0,0
Centaurea melitensis,760,5,12,0,1
Croton setiger,760,1,0,0,0
Croton setiger,760,2,1,0,0
Croton setiger,760,3,1,0,0
Croton setiger,760,4,1,0,1
Croton setiger,760,5,0,0,0
Lactuca serriola,760,1,0,0,0
Lactuca serriola,760,2,0,0,0
Lactuca serriola,760,3,0,0,0
Lactuca serriola,760,4,0,0,0
Lactuca serriola,760,5,1,1,0
Centaurea melitensis,761,1,2,,4
Centaurea melitensis,761,2,25,70,0
Centaurea melitensis,761,3,2,1,1
Centaurea melitensis,761,4,2,0,2
Centaurea melitensis,761,5,4,0,1
Centaurea melitensis,762,1,8,40,0
Centaurea melitensis,762,2,1,1,0
Centaurea melitensis,762,3,4,0,15
Centaurea melitensis,762,4,8,3,0
Centaurea melitensis,762,5,4,0,10
Croton setiger,762,1,0,0,0
Croton setiger,762,2,0,0,0
Croton setiger,762,3,0,0,0
Croton setiger,762,4,1,0,0
Croton setiger,762,5,0,0,0
Logfia filaginoides,762,1,0,0,0
Logfia filaginoides,762,2,1,1,2
Logfia filaginoides,762,3,0,0,0
Logfia filaginoides,762,4,0,0,0
Logfia filaginoides,762,5,0,0,0
Logfia gallica,762,1,0,0,0
Logfia gallica,762,2,1,0,2
Logfia gallica,762,3,1,0,0
Logfia gallica,762,4,0,0,0
Logfia gallica,762,5,0,0,0
Micropus californicus,762,1,0,0,0
Micropus californicus,762,2,1,0,0
Micropus californicus,762,3,1,1,0
Micropus californicus,762,4,0,0,0
Micropus californicus,762,5,0,0,0
Trichostema lanceolatum,762,1,0,0,0
Trichostema lanceolatum,762,2,1,1,1
Trichostema lanceolatum,762,3,0,0,0
Trichostema lanceolatum,762,4,1,0,0
Trichostema lanceolatum,762,5,0,0,0
Lysimachia arvensis,763,1,2,0,0
Lysimachia arvensis,763,2,1,0,1
Lysimachia arvensis,763,3,1,0,3
Lysimachia arvensis,763,4,0,0,0
Lysimachia arvensis,763,5,1,0,1
Croton setiger,763,1,6,5,0
Croton setiger,763,2,10,1,1
Croton setiger,763,3,4,0,0
Croton setiger,763,4,4,1,5
Croton setiger,763,5,8,15,0
